# no  word                  pos           zh                                                                                                                            example                                                    added       right  wrong  last_test   tags            sense
508   kettle                n.            水壺、茶壺                                                                                                                    Boil water in the kettle.                                  2026-09-11  0      1      2026-09-11  -               單義
509   fridge                n.            冰箱                                                                                                                          Put the milk in the fridge.                                2026-09-11  0      1      2026-09-11  -               單義
510   oven                  n.            烤箱                                                                                                                          Bake it in the oven.                                       2026-09-11  0      1      2026-09-11  -               單義
511   microwave             n.            微波爐                                                                                                                        Heat it in the microwave.                                  2026-09-11  0      1      2026-09-11  -               單義
512   sink                  n.            水槽                                                                                                                          Wash your hands in the sink.                               2026-09-11  0      1      2026-09-11  -               多義
513   faucet                n.            水龍頭                                                                                                                        Turn off the faucet.                                       2026-09-11  0      1      2026-09-11  -               單義
514   broom                 n.            掃把                                                                                                                          Sweep with a broom.                                        2026-09-11  0      1      2026-09-11  -               單義
515   mop                   n.            拖把                                                                                                                          Mop the floor.                                             2026-09-11  0      1      2026-09-11  -               單義
516   vacuum                n.            吸塵器                                                                                                                        Use the vacuum on the rug.                                 2026-09-11  0      1      2026-09-11  -               多義
517   laundry               n.            要洗的衣服、洗衣                                                                                                              Do the laundry.                                            2026-09-11  0      1      2026-09-11  -               單義
518   bench                 n.            長椅                                                                                                                          Sit on the bench.                                          2026-09-11  4      2      2026-09-17  居家            多義
519   kick                  v.            踢                                                                                                                            Kick the ball.                                             2026-09-11  0      1      2026-09-11  -               極多義
520   jar                   n.            罐子；JAR（Java 程式打包成的檔案格式）；（動詞）刺耳、不協調，或使人震驚                                                      The jar is full of candy.                                  2026-09-11  1      1      2026-09-17  工程師          多義
521   rope                  n.            繩子                                                                                                                          Pull the rope.                                             2026-09-11  0      1      2026-09-11  -               多義
522   yard                  n.            院子                                                                                                                          Play in the yard.                                          2026-09-11  0      1      2026-09-11  -               多義
523   nap                   n.            小睡、午睡                                                                                                                    I take a nap after lunch.                                  2026-09-11  0      1      2026-09-11  -               單義
524   pond                  n.            池塘                                                                                                                          Fish swim in the pond.                                     2026-09-11  0      1      2026-09-11  -               單義
525   fence                 n.            圍籬、柵欄                                                                                                                    The fence is white.                                        2026-09-11  0      1      2026-09-11  -               多義
526   swing                 n./v.         鞦韆、搖擺                                                                                                                    The kids swing at the park.                                2026-09-11  0      1      2026-09-11  -               多義
527   slide                 n./v.         溜滑梯、滑                                                                                                                    The kids slide down.                                       2026-09-11  0      1      2026-09-11  -               多義
528   fan                   n.            風扇、扇子、粉絲                                                                                                              Turn on the fan.                                           2026-09-11  0      1      2026-09-11  -               多義
529   hen                   n.            母雞                                                                                                                          The hen lays eggs.                                         2026-09-11  0      1      2026-09-11  -               單義
530   goose                 n.            鵝                                                                                                                            The goose is big.                                          2026-09-11  1      1      2026-09-11  -               多義
531   nest                  n.            鳥巢                                                                                                                          The bird builds a nest.                                    2026-09-11  0      1      2026-09-11  -               單義
532   web                   n.            網、蜘蛛網、網路                                                                                                              The spider makes a web.                                    2026-09-11  1      0      2026-09-11  -               多義
533   paw                   n.            （動物的）爪子                                                                                                                The dog has soft paws.                                     2026-09-11  0      1      2026-09-11  -               多義
534   claw                  n.            （動物的）尖爪                                                                                                                The cat has sharp claws.                                   2026-09-11  0      1      2026-09-11  -               單義
535   feather               n.            羽毛                                                                                                                          The bird has soft feathers.                                2026-09-11  0      1      2026-09-11  -               多義
536   shell                 n.            貝殼、外殼                                                                                                                    I found a shell on the beach.                              2026-09-11  0      1      2026-09-11  -               多義
537   hop                   v.            單腳跳、蹦跳                                                                                                                  The rabbit hops.                                           2026-09-11  0      1      2026-09-11  -               單義
538   cliff                 n.            懸崖                                                                                                                          Don't stand near the cliff.                                2026-09-11  0      1      2026-09-11  -               單義
539   valley                n.            山谷                                                                                                                          The valley is green.                                       2026-09-11  0      1      2026-09-11  -               單義
540   wagon                 n.            （有輪子的）手推車、馬車                                                                                                      Pull the wagon.                                            2026-09-11  0      1      2026-09-11  -               多義
541   sled                  n.            雪橇                                                                                                                          Ride the sled down the hill.                               2026-09-11  0      1      2026-09-11  -               單義
542   skate                 v./n.         溜冰                                                                                                                          I skate every winter.                                      2026-09-11  0      1      2026-09-11  -               單義
543   surf                  v.            衝浪                                                                                                                          We surf at the beach.                                      2026-09-11  0      1      2026-09-11  -               多義
544   sail                  v./n.         航行、帆                                                                                                                      The boat can sail fast.                                    2026-09-11  0      1      2026-09-11  -               單義
545   paddle                n./v.         槳、划（船）                                                                                                                  Paddle the boat.                                           2026-09-11  0      1      2026-09-11  -               多義
546   anchor                n.            錨                                                                                                                            Drop the anchor.                                           2026-09-11  0      1      2026-09-11  -               多義
547   deck                  n.            （船的）甲板；（住家後院的）木棧平台；一副（撲克牌，a deck of cards）                                                         Stand on the deck.                                         2026-09-11  2      2      2026-09-17  居家            多義
548   cutlet                n.            （裹粉炸的）肉排、肉片                                                                                                        It's a fried chicken cutlet.                               2026-09-11  0      1      2026-09-14  -               單義
549   fried                 adj.          用油炸的、用油煎的                                                                                                            I like fried chicken.                                      2026-09-11  0      1      2026-09-14  -               單義
550   fried chicken cutlet  n. phr.       炸雞排                                                                                                                        I want a fried chicken cutlet.                             2026-09-11  1      0      2026-09-14  -               單義
551   sliced pork           n. phr.       豬肉片                                                                                                                        Add some sliced pork to the hot pot.                       2026-09-11  1      0      2026-09-15  -               單義
552   bubble tea            n. phr.       珍珠奶茶                                                                                                                      Let's get bubble tea.                                      2026-09-11  1      0      2026-09-14  -               單義
553   boba                  n.            珍珠（粉圓）、珍珠奶茶（口語）                                                                                                I want extra boba.                                         2026-09-11  1      0      2026-09-14  -               單義
554   boba tea              n. phr.       珍珠奶茶（美式常見說法）                                                                                                      He orders boba tea every day.                              2026-09-11  1      1      2026-09-14  -               單義
555   sliced beef           n. phr.       牛肉片                                                                                                                        Order some sliced beef for the hot pot.                    2026-09-11  1      0      2026-09-14  -               單義
556   fried rice            n. phr.       炒飯                                                                                                                          I want a plate of fried rice.                              2026-09-11  1      0      2026-09-14  -               單義
557   bacon                 n.            培根                                                                                                                          I eat bacon for breakfast.                                 2026-09-11  1      0      2026-09-15  -               單義
558   stinky tofu           n. phr.       臭豆腐                                                                                                                        I love eating stinky tofu.                                 2026-09-11  1      0      2026-09-14  -               單義
559   oyster omelet         n. phr.       蚵仔煎                                                                                                                        The oyster omelet is delicious.                            2026-09-11  0      0      -           -               單義
560   hot pot               n. phr.       火鍋                                                                                                                          We eat hot pot in winter.                                  2026-09-11  1      0      2026-09-14  -               單義
561   oden                  n.            關東煮                                                                                                                        I buy oden at the convenience store.                       2026-09-11  0      1      2026-09-14  -               單義
562   grilled               adj.          用烤架烤的                                                                                                                    I like grilled chicken.                                    2026-09-11  1      0      2026-09-14  -               單義
563   steamed               adj.          蒸的                                                                                                                          Steamed fish is healthy.                                   2026-09-11  0      1      2026-09-14  -               單義
564   boiled                adj.          水煮的                                                                                                                        I eat a boiled egg every day.                              2026-09-11  1      0      2026-09-14  -               單義
565   roasted               adj.          用烤箱烤（整塊）的                                                                                                            Roasted chicken smells great.                              2026-09-11  0      1      2026-09-14  -               單義
566   stir-fried            adj.          快炒的                                                                                                                        Stir-fried vegetables are quick to make.                   2026-09-11  1      0      2026-09-14  -               單義
567   smoked                adj.          煙燻的                                                                                                                        Smoked bacon has a strong smell.                           2026-09-11  1      0      2026-09-14  -               單義
568   grilled meat          n. phr.       烤肉（食物本身）                                                                                                              I love grilled meat.                                       2026-09-11  1      0      2026-09-14  -               單義
569   barbecue              n./v.         烤肉（活動、聚會）。正式拼法是 barbecue，字典常收錄；barbeque 是常見變體拼法，美國餐廳招牌很常見；美國人日常更常直接簡稱 BBQ  We have a barbecue every Mid-Autumn Festival.              2026-09-11  1      0      2026-09-14  -               單義
570   BBQ                   n.            烤肉（barbecue 的縮寫，口語最常用）                                                                                           Let's have a BBQ this weekend.                             2026-09-11  1      0      2026-09-17  生活            單義
571   Korean BBQ            n. phr.       韓式烤肉、桌邊自烤吃到飽（不限韓國人開的店都這樣叫）                                                                          Let's go to Korean BBQ tonight.                            2026-09-11  1      0      2026-09-14  -               單義
572   all-you-can-eat       adj. phr.     吃到飽的                                                                                                                      It's an all-you-can-eat restaurant.                        2026-09-11  1      0      2026-09-14  -               單義
573   all you can eat       phr.          吃到飽（不加連字號，單獨講或當名詞用時）                                                                                      This buffet is all you can eat.                            2026-09-11  1      0      2026-09-14  -               單義
574   sliced                adj.          切片的                                                                                                                        The bread is sliced.                                       2026-09-11  1      0      2026-09-16  基礎字          單義
575   damn                  interj./adj.  可惡、該死（輕度粗話，驚訝或不爽時的語氣詞）                                                                                  Damn, I forgot my wallet.                                  2026-09-11  1      0      2026-09-15  -               單義
576   meat                  n.            肉                                                                                                                            I don't eat much meat.                                     2026-09-11  1      0      2026-09-14  -               單義
577   sliced meat           n. phr.       肉片（泛指，任何肉都可以套）                                                                                                  Add some sliced meat to the noodles.                       2026-09-11  1      0      2026-09-14  -               單義
578   grill                 n./v.         烤架、烤爐、用烤架烤                                                                                                          Put the meat on the grill.                                 2026-09-11  1      0      2026-09-14  -               單義
579   smoke                 n./v.         煙、用煙燻                                                                                                                    The fish is cooked over smoke.                             2026-09-11  1      0      2026-09-14  -               多義
580   smoking               n./adj.       抽菸（單獨用）；後面接受詞（如 smoking meat）則是「正在煙燻ＸＸ」                                                             No smoking here.                                           2026-09-11  1      0      2026-09-15  -               單義
581   broil                 v.            用上火烤、焗烤                                                                                                                Broil the fish for ten minutes.                            2026-09-11  0      1      2026-09-14  -               單義
582   seafood               n.            海鮮                                                                                                                          I love seafood.                                            2026-09-11  1      0      2026-09-14  -               單義
583   with                  prep.         跟、和、附帶                                                                                                                  I eat rice with chicken.                                   2026-09-11  1      0      2026-09-15  -               單義
584   tomato                n.            番茄                                                                                                                          The tomato is red.                                         2026-09-11  0      1      2026-09-14  -               單義
585   cucumber              n.            小黃瓜                                                                                                                        I put cucumber in the salad.                               2026-09-11  1      0      2026-09-16  -               單義
586   cabbage               n.            高麗菜                                                                                                                        Cabbage is cheap in winter.                                2026-09-11  1      0      2026-09-14  -               單義
587   spinach               n.            菠菜                                                                                                                          Spinach is full of iron.                                   2026-09-11  0      1      2026-09-14  -               單義
588   chili                 n.            辣椒                                                                                                                          Add some chili to the soup.                                2026-09-11  0      0      -           -               單義
589   boil                  v.            水煮、煮沸                                                                                                                    Boil the water first.                                      2026-09-11  0      1      2026-09-14  -               多義
590   hardly                adv.          幾乎不、很少                                                                                                                  I hardly eat fast food.                                    2026-09-11  0      1      2026-09-14  -               單義
591   useful                adj.          有用的                                                                                                                        This app is useful.                                        2026-09-11  1      0      2026-09-14  -               單義
592   hardly useful         adj. phr.     幾乎沒什麼用                                                                                                                  This tool is hardly useful.                                2026-09-11  1      0      2026-09-14  -               單義
593   sausage               n.            香腸                                                                                                                          I eat sausage for breakfast.                               2026-09-11  0      1      2026-09-14  -               單義
594   steak                 n.            牛排                                                                                                                          I want my steak medium rare.                               2026-09-11  1      0      2026-09-14  -               單義
595   meatball              n.            肉丸                                                                                                                          The meatball is in the soup.                               2026-09-11  1      0      2026-09-14  -               單義
596   fried chicken         n. phr.       炸雞（塊狀，非壓扁裹粉的雞排）                                                                                                I love fried chicken.                                      2026-09-11  1      0      2026-09-14  -               單義
597   fries                 n.            薯條                                                                                                                          Can I get some fries?                                      2026-09-11  1      0      2026-09-14  -               單義
598   chips                 n.            洋芋片（美式）；薯條（英式）                                                                                                  I like salty chips.                                        2026-09-11  0      1      2026-09-16  -               多義
599   burger                n.            漢堡                                                                                                                          I want a cheese burger.                                    2026-09-11  1      0      2026-09-14  -               單義
600   dumplings             n.            水餃                                                                                                                          We eat dumplings on New Year.                              2026-09-11  0      1      2026-09-14  -               單義
601   ice cream             n. phr.       冰淇淋                                                                                                                        I want chocolate ice cream.                                2026-09-11  1      0      2026-09-14  -               單義
602   pudding               n.            布丁                                                                                                                          This pudding is smooth.                                    2026-09-11  0      1      2026-09-14  -               單義
603   almost                adv.          幾乎、差不多                                                                                                                  I am almost done.                                          2026-09-11  0      0      -           -               單義
604   soon                  adv.          快、不久之後                                                                                                                  See you soon.                                              2026-09-11  1      0      2026-09-15  -               單義
605   napkin                n.            餐巾紙                                                                                                                        Can I get a napkin?                                        2026-09-14  12     9      2026-09-17  餐廳            單義
606   straw                 n.            吸管                                                                                                                          Can I have a straw?                                        2026-09-14  10     3      2026-09-16  工具、基礎字    多義
607   dessert               n.            甜點                                                                                                                          What's for dessert?                                        2026-09-14  7      2      2026-09-15  食物            單義
608   appetizer             n.            開胃菜                                                                                                                        We ordered an appetizer first.                             2026-09-14  0      1      2026-09-14  -               單義
609   beverage              n.            飲料（較正式的說法）                                                                                                          Choose a beverage with your meal.                          2026-09-14  0      1      2026-09-14  -               單義
610   takeout               n.            外帶                                                                                                                          I want takeout tonight.                                    2026-09-14  1      0      2026-09-14  -               單義
611   toothpick             n.            牙籤                                                                                                                          Can I get a toothpick?                                     2026-09-14  0      1      2026-09-14  -               單義
612   lend                  v.            借出（借給別人）                                                                                                              I can lend you my pen.                                     2026-09-14  1      0      2026-09-14  -               單義
613   bill                  n.            帳單                                                                                                                          Can I have the bill, please?                               2026-09-14  0      1      2026-09-14  -               極多義
614   server                n.            服務生（美式餐廳常用）；伺服器（電腦網路）                                                                                    The server brought our food.                               2026-09-14  1      0      2026-09-14  工程師          多義
615   host                  n.            主人、主持人；主機（電腦網路領域）                                                                                            He is the host of the show.                                2026-09-14  0      1      2026-09-14  工程師          多義
616   receipt               n.            收據                                                                                                                          Can I have the receipt?                                    2026-09-14  0      1      2026-09-14  -               單義
617   tip                   n.            小費、祕訣                                                                                                                    Leave a tip for the server.                                2026-09-14  0      1      2026-09-14  -               極多義
618   stinky                adj.          臭的                                                                                                                          The garbage smells stinky.                                 2026-09-14  1      0      2026-09-15  -               單義
619   exam                  n.            考試（比較正式，像期末考、大考）                                                                                              I have a big exam tomorrow.                                2026-09-14  1      0      2026-09-14  -               單義
620   quiz                  n.            小考、隨堂測驗（輕量、簡短）                                                                                                  We do a quiz every day here.                               2026-09-14  1      0      2026-09-14  -               單義
621   unhealthy             adj.          不健康的                                                                                                                      Fast food is unhealthy.                                    2026-09-14  1      0      2026-09-15  -               單義
622   passbook              n.            存摺                                                                                                                          Bring your passbook to the bank.                           2026-09-14  0      0      -           -               單義
623   seal                  n./v.         印章、正式印鑑、封印；海豹（另一常見意思）                                                                                    The document needs an official seal.                       2026-09-14  1      0      2026-09-15  -               多義
624   chop                  n./v.         印章（口語，台港中語境常見）；剁、砍（動詞原意）                                                                              Bring your chop to sign the contract.                      2026-09-14  0      0      -           -               多義
625   document              n.            文件                                                                                                                          Sign this document, please.                                2026-09-14  1      0      2026-09-15  -               單義
626   form                  n.            表格                                                                                                                          Fill out this form.                                        2026-09-14  0      1      2026-09-15  -               極多義
627   certificate           n.            證書                                                                                                                          This is my birth certificate.                              2026-09-14  1      0      2026-09-15  工程師          單義
628   record                n./v.         紀錄、唱片；錄製                                                                                                              Keep a record of your spending.                            2026-09-14  0      0      -           -               極多義
629   hello                 interj.       哈囉，打招呼用語（中性，任何場合都能用）                                                                                      Hello, how are you?                                        2026-09-14  1      0      2026-09-15  -               單義
630   hi                    interj.       嗨，打招呼用語（更隨意，朋友間最常用）                                                                                        Hi! Long time no see.                                      2026-09-14  1      0      2026-09-16  基礎字          單義
631   cooking               n.            烹飪、做菜                                                                                                                    I love cooking on weekends.                                2026-09-14  1      0      2026-09-15  -               單義
632   rotisserie            n.            旋轉烤肉架（肉串在轉軸上邊轉邊烤，Costco 烤雞用的就是這種）                                                                   Costco sells rotisserie chicken.                           2026-09-14  1      1      2026-09-15  -               單義
633   checkbox              n.            核取方塊（勾選用的方框，UI 術語）                                                                                             Click the checkbox to agree.                               2026-09-14  0      1      2026-09-15  -               單義
634   tongs                 n.            夾子（廚房用，烤肉、沙拉夾等）                                                                                                Use tongs to flip the meat.                                2026-09-14  0      1      2026-09-15  -               單義
635   pass                  v./n.         通過、傳遞、跳過；通行證                                                                                                      Please pass me the salt.                                   2026-09-14  1      0      2026-09-15  -               極多義
636   spatula               n.            鍋鏟、抹刀                                                                                                                    Flip the egg with a spatula.                               2026-09-14  1      0      2026-09-15  -               單義
637   corkscrew             n.            開瓶器（拔軟木塞用）                                                                                                          Use a corkscrew to open the wine.                          2026-09-14  0      0      -           -               單義
638   cork                  n.            軟木塞                                                                                                                        Put the cork back in the bottle.                           2026-09-14  0      0      -           -               單義
639   screw                 n./v.         螺絲；鎖緊（動詞）                                                                                                            Tighten the screw.                                         2026-09-14  0      1      2026-09-15  -               多義
640   factory               n.            工廠                                                                                                                          He works in a factory.                                     2026-09-14  0      0      -           -               單義
641   vodka                 n.            伏特加                                                                                                                        I don't drink vodka.                                       2026-09-14  1      0      2026-09-17  食物            單義
642   beer                  n.            啤酒                                                                                                                          Can I have a beer?                                         2026-09-14  1      0      2026-09-15  食物            單義
643   draft                 n./adj.       草稿；生啤酒（draft beer 的簡稱）                                                                                             I'll draft the email.                                      2026-09-14  1      0      2026-09-15  -               極多義
644   draft beer            n. phr.       生啤酒                                                                                                                        One draft beer, please.                                    2026-09-14  0      0      -           -               單義
645   craft                 n./adj.       手工藝；精工製作的（craft beer 的用法）                                                                                       This is a craft product.                                   2026-09-14  0      1      2026-09-15  -               多義
646   craft beer            n. phr.       精釀啤酒                                                                                                                      I prefer craft beer over regular beer.                     2026-09-14  1      0      2026-09-15  -               單義
647   alcohol               n.            酒（泛指所有含酒精飲料）                                                                                                      He doesn't drink alcohol.                                  2026-09-14  1      0      2026-09-17  食物            單義
648   bartender             n.            調酒師                                                                                                                        The bartender made a great drink.                          2026-09-14  1      0      2026-09-15  -               單義
649   front                 n./adj.       前面、前方                                                                                                                    Stand at the front.                                        2026-09-14  0      1      2026-09-15  -               多義
650   front-end developer   n. phr.       前端工程師                                                                                                                    She is a front-end developer.                              2026-09-14  1      0      2026-09-16  -               單義
651   end                   n./v.         末端、結束；結束（動詞）                                                                                                      The movie will end soon.                                   2026-09-14  1      0      2026-09-15  -               多義
652   developer             n.            開發者、工程師                                                                                                                He is a software developer.                                2026-09-14  0      1      2026-09-15  -               多義
653   back                  n./adj./adv.  後面、背後；回去                                                                                                              Go back home.                                              2026-09-14  0      0      -           身體部位        極多義
654   database              n.            資料庫                                                                                                                        Save it to the database.                                   2026-09-14  1      0      2026-09-15  工程師          單義
655   base                  n.            基礎、基地                                                                                                                    This is the base of the tower.                             2026-09-14  1      0      2026-09-15  -               極多義
656   level                 n.            等級、程度                                                                                                                    This game has ten levels.                                  2026-09-14  1      0      2026-09-15  -               極多義
657   easy                  adj.          簡單的                                                                                                                        This test is easy.                                         2026-09-14  1      0      2026-09-15  -               單義
658   medium                adj.          中等的                                                                                                                        Choose the medium size.                                    2026-09-14  1      0      2026-09-15  -               多義
659   beginner              n.            初學者                                                                                                                        This class is for beginners.                               2026-09-14  0      1      2026-09-15  -               單義
660   novice                n.            新手、菜鳥                                                                                                                    I'm still a novice at this.                                2026-09-14  1      0      2026-09-17  中等字          單義
